type;iocs;Verions;Date;Reference
package;@uipath/case-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/api-workflow-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/vue-router-devtools;ÿ1.166.16,ÿ1.166.19;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/test-manager-tool;ÿ1.0.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/robot;ÿ1.3.4;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/traces-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/agent-sdk;ÿ1.0.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/integrationservice-sdk;ÿ1.0.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/maestro-sdk;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/data-fabric-tool;ÿ1.0.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@mesadev/saguaro;ÿ0.4.22;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/tasks-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/insights-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/insights-sdk;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/uipath-python-bridge;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@draftlab/db;ÿ0.16.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/ap-chat;ÿ1.5.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/project-packager;ÿ1.1.16;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-case;ÿ0.0.9;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-workflowcompiler-browser;ÿ0.0.34;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-connector;ÿ0.0.19;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-workflowcompiler;ÿ0.0.16;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-webapp;ÿ1.0.6;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-apiworkflow;ÿ0.0.19;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-functions;ÿ0.1.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;ts-dna;ÿ3.0.1,ÿ3.0.2,ÿ3.0.3,ÿ3.0.4;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/widget.sdk;ÿ1.2.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/resources-tool;ÿ0.1.11;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/agent.sdk;ÿ0.0.18;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;cross-stitch;ÿ1.1.3,ÿ1.1.4,ÿ1.1.5,ÿ1.1.6;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/codedagents-tool;ÿ0.1.12;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/aops-policy-tool;ÿ0.3.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/solution-packager;ÿ0.0.35;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@draftlab/auth-router;ÿ0.5.1,ÿ0.5.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;cmux-agent-mcp;ÿ0.1.3,ÿ0.1.4,ÿ0.1.5,ÿ0.1.6,ÿ0.1.7,ÿ0.1.8;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;agentwork-cli;ÿ0.1.4,ÿ0.1.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-bpmn;ÿ0.0.9;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@draftauth/core;ÿ0.13.1,ÿ0.13.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@dirigible-ai/sdk;ÿ0.6.2,ÿ0.6.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/packager-tool-flow;ÿ0.0.19;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;git-branch-selector;ÿ1.3.3,ÿ1.3.4,ÿ1.3.5,ÿ1.3.6,ÿ1.3.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;wot-api;ÿ0.8.1,ÿ0.8.2,ÿ0.8.3,ÿ0.8.4;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;git-git-git;ÿ1.0.8,ÿ1.0.9,ÿ1.0.10,ÿ1.0.11,ÿ1.0.12;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@beproduct/nestjs-auth;ÿ0.1.2,ÿ0.1.3,ÿ0.1.4,ÿ0.1.5,ÿ0.1.6,ÿ0.1.7,ÿ0.1.8,ÿ0.1.9,ÿ0.1.10,ÿ0.1.11,ÿ0.1.12,ÿ0.1.13,ÿ0.1.14,ÿ0.1.15,ÿ0.1.16,ÿ0.1.17,ÿ0.1.18,ÿ0.1.19;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@ml-toolkit-ts/xgboost;ÿ1.0.3,ÿ1.0.4;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;nextmove-mcp;ÿ0.1.3,ÿ0.1.4,ÿ0.1.5,ÿ0.1.6,ÿ0.1.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;ml-toolkit-ts;ÿ1.0.4,ÿ1.0.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/telemetry;ÿ0.0.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@draftauth/client;ÿ0.2.1,ÿ0.2.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@ml-toolkit-ts/preprocessing;ÿ1.0.2,ÿ1.0.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
