Type,Artifacts,Package,Version,Date,Reference
package,@uipath/insights-sdk@1.0.1,@uipath/insights-sdk,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/uipath-python-bridge@1.0.1,@uipath/uipath-python-bridge,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@draftlab/db@0.16.1,@draftlab/db,0.16.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/ap-chat@1.5.7,@uipath/ap-chat,1.5.7,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/project-packager@1.1.16,@uipath/project-packager,1.1.16,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-case@0.0.9,@uipath/packager-tool-case,0.0.9,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-workflowcompiler-browser@0.0.34,@uipath/packager-tool-workflowcompiler-browser,0.0.34,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-connector@0.0.19,@uipath/packager-tool-connector,0.0.19,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-workflowcompiler@0.0.16,@uipath/packager-tool-workflowcompiler,0.0.16,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-webapp@1.0.6,@uipath/packager-tool-webapp,1.0.6,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-apiworkflow@0.0.19,@uipath/packager-tool-apiworkflow,0.0.19,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-functions@0.1.1,@uipath/packager-tool-functions,0.1.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,ts-dna@3.0.1,ts-dna,3.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/widget.sdk@1.2.3,@uipath/widget.sdk,1.2.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/resources-tool@0.1.11,@uipath/resources-tool,0.1.11,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/agent.sdk@0.0.18,@uipath/agent.sdk,0.0.18,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,cross-stitch@1.1.3,cross-stitch,1.1.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/codedagents-tool@0.1.12,@uipath/codedagents-tool,0.1.12,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/aops-policy-tool@0.3.1,@uipath/aops-policy-tool,0.3.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/solution-packager@0.0.35,@uipath/solution-packager,0.0.35,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@draftlab/auth-router@0.5.1,@draftlab/auth-router,0.5.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,cmux-agent-mcp@0.1.3,cmux-agent-mcp,0.1.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,agentwork-cli@0.1.4,agentwork-cli,0.1.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-bpmn@0.0.9,@uipath/packager-tool-bpmn,0.0.9,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@draftauth/core@0.13.1,@draftauth/core,0.13.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@dirigible-ai/sdk@0.6.2,@dirigible-ai/sdk,0.6.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/packager-tool-flow@0.0.19,@uipath/packager-tool-flow,0.0.19,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,git-branch-selector@1.3.3,git-branch-selector,1.3.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,wot-api@0.8.1,wot-api,0.8.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,git-git-git@1.0.8,git-git-git,1.0.8,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@beproduct/nestjs-auth@0.1.2,@beproduct/nestjs-auth,0.1.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
